ATC,Interchangeable Category Name,DIN,Product Description,Prescriber Type,Reimbursment Price,Price Type,Benefit Status,MFR,Interchangeabiilty Flag
A02BA02,ranitidine 75mg tab,2230287,Zantac 75mg Tab (discontinued),,,,,JNJ,Y
A02BA02,ranitidine 75mg tab,2230507,Apo-Ranitidine 75mg Tab,,,,,APX,Y
A02BA03,famotidine 10mg/mL inj,728128,Pepcid 10mg/mL Inj (discontinued),,,,,FRS,Y
A02BA03,famotidine 10mg/mL inj,2247745,Famotidine Omega 10mg/mL Inj,DNP,1.985,M,SF,OMG,Y
A02BA03,famotidine 10mg/mL inj (pf),728128,Pepcid (PF) 10mg/mL Inj (discontinued),,,,,FRS,Y
A02BA03,famotidine 10mg/mL inj (pf),2247735,Famotidine Omega (PF) 10mg/mL Inj,DNP,1.985,M,SF,OMG,Y
A02BA03,famotidine 20mg tab,710121,Pepcid 20mg Tab (discontinued),,,,,FRS,Y
A02BA03,famotidine 20mg tab,1953842,Apo-Famotidine 20mg Tab (discontinued),,,,,APX,Y
A02BA03,famotidine 20mg tab,2022133,Novo-Famotidine 20mg Tab,DNP,0.18,P,SF,TEV,Y
A02BA03,famotidine 20mg tab,2196018,MYLAN-Famotidine 20mg Tab (discontinued),,,,,MYL,Y
A02BA03,famotidine 20mg tab,2351102,Famotidine 20mg Tab,DNP,0.18,P,SF,SAS,Y
A02BA03,famotidine 40mg tab,710113,Pepcid 40mg Tab (discontinued),,,,,FRS,Y
A02BA03,famotidine 40mg tab,1953834,Apo-Famotidine 40mg Tab (discontinued),,,,,APX,Y
A02BA03,famotidine 40mg tab,2022141,Novo-Famotidine 40mg Tab,DNP,0.36,P,SF,TEV,Y
A02BA03,famotidine 40mg tab,2196026,MYLAN-Famotidine 40mg Tab (discontinued),,,,,MYL,Y
A02BA03,famotidine 40mg tab,2351110,Famotidine 40mg Tab,DNP,0.36,P,SF,SAS,Y
A02BA04,,778338,Axid 150mg Cap,DNP,0.18,P,SF,PDP,N
A02BB01,misoprostol 100mcg tab,813966,Cytotec 100mcg Tab (discontinued),,,,,PFI,Y
A02BB01,misoprostol 100mcg tab,2244022,Misoprostol 100mcg Tab,DNPM,0.2691,M,SF,AAP,Y
A02BB01,misoprostol 200mcg tab,632600,Cytotec 200mcg Tab (discontinued),,,,,PFI,Y
A02BB01,misoprostol 200mcg tab,2244023,Misoprostol 200mcg Tab,DNPM,0.4481,M,SF,AAP,Y
A02BC01,omeprazole 10mg cap,2119579,Losec 10mg Cap (discontinued),,,,,AZE,Y
A02BC01,omeprazole 10mg cap,2296438,Sandoz Omeprazole 10mg Cap,DNP,0.2059,P,SFC*,SDZ,Y
A02BC01,omeprazole 10mg cap,2329425,MYLAN-Omeprazole 10mg Cap,DNP,0.2059,P,SFC*,MYL,Y
A02BC01,omeprazole 10mg cap/tab,2230737,Losec 10mg Tab,DNP,0.2059,P,SFC*,AZE,Y
A02BC01,omeprazole 10mg cap/tab,2295407,Teva-Omeprazole 10mg Tab,DNP,0.2059,P,SFC*,TEV,Y
A02BC01,omeprazole 10mg cap/tab,2329425,MYLAN-Omeprazole 10mg Cap,DNP,0.2059,P,SFC*,MYL,Y
A02BC01,omeprazole 20mg cap,846503,Losec 20mg Cap,DNP,0.2287,M,SFC*,AZE,Y
A02BC01,omeprazole 20mg cap,2245058,Apo-Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,APX,Y
A02BC01,omeprazole 20mg cap,2296446,Sandoz Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,SDZ,Y
A02BC01,omeprazole 20mg cap,2320851,pms-Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,PMS,Y
A02BC01,omeprazole 20mg cap,2329433,MYLAN-Omeprazole 20mg Cap (discontinued),,,,,MYL,Y
A02BC01,omeprazole 20mg cap,2348691,Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,SAS,Y
A02BC01,omeprazole 20mg cap,2411857,Omeprazole-20mg Cap,DNP,0.2287,M,SFC*,SIV,Y
A02BC01,omeprazole 20mg cap/tab,2190915,Losec 20mg Tab,DNP,0.2287,M,SFC*,AZE,Y
A02BC01,omeprazole 20mg cap/tab,2245058,Apo-Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,APX,Y
A02BC01,omeprazole 20mg cap/tab,2295415,Novo-Omeprazole Delayed-Release 20mg Tab,DNP,0.2287,M,SFC*,TEV,Y
A02BC01,omeprazole 20mg cap/tab,2310260,pms-Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,PMS,Y
A02BC01,omeprazole 20mg cap/tab,2329433,MYLAN-Omeprazole 20mg Cap (discontinued),,,,,MYL,Y
A02BC01,omeprazole 20mg cap/tab,2348691,Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,SAS,Y
A02BC01,omeprazole 20mg cap/tab,2416549,Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,AHI,Y
A02BC01,omeprazole 20mg cap/tab,2420198,Jamp-Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,JPC,Y
A02BC01,omeprazole 20mg cap/tab,2439549,NAT-Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,NAT,Y
A02BC02,pantoprazole magnesium 40mg EC tab,2267233,Tecta 40mg Tab,DNP,0.1875,M,E,TAK,Y
A02BC02,pantoprazole magnesium 40mg EC tab,2408570,MYLAN-Pantoprazole T 40mg Tab,DNP,0.1875,M,E,MYL,Y
A02BC02,pantoprazole magnesium 40mg EC tab,2440628,Teva-Pantoprazole Magnesium 40mg Tab,DNP,0.1875,M,E,TEV,Y
A02BC02,pantoprazole magnesium 40mg EC tab,2441853,Pantoprazole Magnesium 40mg Tab,DNP,0.1875,M,E,APR,Y
A02BC02,pantoprazole magnesium 40mg EC tab,2466147,Pantoprazole T 40mg Tab,DNP,0.1875,M,E,SAS,Y
A02BC02,pantoprazole sodium 20mg EC tab,2241804,Pantoloc 20mg Tab,DNP,0.1803,M,SFC*,TAK,Y
A02BC02,pantoprazole sodium 20mg EC tab,2285479,Teva-Pantoprazole 20mg DR Tab,DNP,0.1803,M,SFC*,TEV,Y
A02BC02,pantoprazole sodium 20mg EC tab,2292912,Apo-Pantoprazole 20mg DR Tab,DNP,0.1803,M,SFC*,APX,Y
A02BC02,pantoprazole sodium 20mg EC tab,2301075,Sandoz Pantoprazole 20mg DR Tab,DNP,0.1803,M,SFC*,SDZ,Y
A02BC02,pantoprazole sodium 20mg EC tab,2305038,RAN-Pantoprazole 20mg Tab,DNP,0.1803,M,SFC*,RAN,Y
A02BC02,pantoprazole sodium 20mg EC tab,2408414,Jamp-Pantoprazole 20mg Tab,DNP,0.1803,M,SFC*,JPC,Y
A02BC02,pantoprazole sodium 20mg EC tab,2428172,Pantoprazole-20mg Tab,DNP,0.1803,M,SFC*,SIV,Y
A02BC02,pantoprazole sodium 40mg EC tab,2229453,Pantoloc 40mg Tab,DNP,0.2016,M,SFC*,TAK,Y
A02BC02,pantoprazole sodium 40mg EC tab,2285487,Teva-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,TEV,Y
A02BC02,pantoprazole sodium 40mg EC tab,2292920,Apo-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,APX,Y
A02BC02,pantoprazole sodium 40mg EC tab,2299585,MYLAN-Pantoprazole 40mg DR Tab (discontinued),,,,,MYL,Y
A02BC02,pantoprazole sodium 40mg EC tab,2301083,Sandoz Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,SDZ,Y
A02BC02,pantoprazole sodium 40mg EC tab,2305046,RAN-Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,RAN,Y
A02BC02,pantoprazole sodium 40mg EC tab,2307871,pms-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,PMS,Y
A02BC02,pantoprazole sodium 40mg EC tab,2357054,Jamp-Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,JPC,Y
A02BC02,pantoprazole sodium 40mg EC tab,2370808,Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,SAS,Y
A02BC02,pantoprazole sodium 40mg EC tab,2415208,Auro-Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,ARO,Y
A02BC02,pantoprazole sodium 40mg EC tab,2416565,Mar-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,MAR,Y
A02BC02,pantoprazole sodium 40mg EC tab,2417448,MINT-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,MNT,Y
A02BC02,pantoprazole sodium 40mg EC tab,2428180,Pantoprazole-40mg Tab,DNP,0.2016,M,SFC*,SIV,Y
A02BC02,pantoprazole sodium 40mg EC tab,2437945,Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,PMS,Y
A02BC03,Children 12 Years and Under,903192,Lansoprazole Oral Suspension,DNP,,,FC,CPD,N
A02BC03,lansoprazole 15mg cap,2165503,Prevacid 15mg Cap,DNP,0.25,P,E,ABB,Y
A02BC03,lansoprazole 15mg cap,2280515,Teva-Lansoprazole 15mg DR Cap,DNP,0.25,P,E,TEV,Y
A02BC03,lansoprazole 15mg cap,2293811,Apo-Lansoprazole 15mg DR Cap,DNP,0.25,P,E,APX,Y
A02BC03,lansoprazole 15mg cap,2353830,MYLAN-Lansoprazole 15mg DR Cap,DNP,0.25,P,E,MYL,Y
A02BC03,lansoprazole 15mg cap,2357682,Lansoprazole 15mg DR Cap,DNP,0.25,P,E,SAS,Y
A02BC03,lansoprazole 15mg cap,2385643,Sandoz Lansoprazole 15mg DR Cap,DNP,0.25,P,E,SDZ,Y
A02BC03,lansoprazole 15mg cap,2385767,Lansoprazole 15mg Cap,DNP,0.25,P,E,SIV,Y
A02BC03,lansoprazole 15mg cap,2402610,RAN-Lansoprazole 15mg Cap,DNP,0.25,P,E,RAN,Y
A02BC03,lansoprazole 15mg cap,2433001,Lansoprazole 15mg Cap,DNP,0.25,P,E,PMS,Y
A02BC03,lansoprazole 30mg cap,2165511,Prevacid 30mg Cap,DNP,0.5,M,E,ABB,Y
A02BC03,lansoprazole 30mg cap,2280523,Teva-Lansoprazole 30mg DR Cap,DNP,0.5,M,E,TEV,Y
A02BC03,lansoprazole 30mg cap,2293838,Apo-Lansoprazole 30mg DR Cap,DNP,0.5,M,E,APX,Y
A02BC03,lansoprazole 30mg cap,2353849,MYLAN-Lansoprazole 30mg DR Cap,DNP,0.5,M,E,MYL,Y
A02BC03,lansoprazole 30mg cap,2357690,Lansoprazole 30mg DR Cap,DNP,0.5,M,E,SAS,Y
A02BC03,lansoprazole 30mg cap,2385651,Sandoz Lansoprazole 30mg DR Cap,DNP,0.5,M,E,SDZ,Y
A02BC03,lansoprazole 30mg cap,2402629,RAN-Lansoprazole 30mg Cap,DNP,0.5,M,E,RAN,Y
A02BC03,lansoprazole 30mg cap,2410389,Lansoprazole-30mg Cap,DNP,0.5,M,E,SIV,Y
A02BC03,lansoprazole 30mg cap,2433028,Lansoprazole 30mg Cap,DNP,0.5,M,E,PMS,Y
A02BC03,,2249464,Prevacid FasTab 15mg Tab,DNP,2.042,L,E,ABB,N
A02BC03,,2249472,Prevacid FasTab 30mg Tab,DNP,2.042,L,E,ABB,N
A02BC04,rabeprazole 10mg EC tab,2243796,Pariet 10mg Tab,DNP,0.0669,M,SFC,JAN,Y
A02BC04,rabeprazole 10mg EC tab,2296632,Teva-Rabeprazole-EC 10mg Tab,DNP,0.0669,M,SFC,TEV,Y
A02BC04,rabeprazole 10mg EC tab,2298074,RAN-Rabeprazole 10mg Tab,DNP,0.0669,M,SFC,RAN,Y
A02BC04,rabeprazole 10mg EC tab,2310805,pms-Rabeprazole 10mg EC Tab,DNP,0.0669,M,SFC,PMS,Y
A02BC04,rabeprazole 10mg EC tab,2314177,Sandoz Rabeprazole 10mg EC Tab,DNP,0.0669,M,SFC,SDZ,Y
A02BC04,rabeprazole 10mg EC tab,2345579,Apo-Rabeprazole 10mg EC Tab,DNP,0.0669,M,SFC,APX,Y
A02BC04,rabeprazole 10mg EC tab,2356511,Rabeprazole EC 10mg Tab,DNP,0.0669,M,SFC,SAS,Y
A02BC04,rabeprazole 10mg EC tab,2385449,Rabeprazole-10mg Tab,DNP,0.0669,M,SFC,SIV,Y
A02BC04,rabeprazole 10mg EC tab,2408392,MYLAN-Rabeprazole 10mg Tab (discontinued),,,,,MYL,Y
A02BC04,rabeprazole 20mg EC tab,2243797,Pariet 20mg Tab,DNP,0.1338,M,SFC,JAN,Y
A02BC04,rabeprazole 20mg EC tab,2296640,Teva-Rabeprazole-EC 20mg Tab,DNP,0.1338,M,SFC,TEV,Y
A02BC04,rabeprazole 20mg EC tab,2298082,RAN-Rabeprazole 20mg Tab,DNP,0.1338,M,SFC,RAN,Y
A02BC04,rabeprazole 20mg EC tab,2310813,pms-Rabeprazole 20mg EC Tab,DNP,0.1338,M,SFC,PMS,Y
A02BC04,rabeprazole 20mg EC tab,2314185,Sandoz Rabeprazole 20mg EC Tab,DNP,0.1338,M,SFC,SDZ,Y
A02BC04,rabeprazole 20mg EC tab,2345587,Apo-Rabeprazole 20mg EC Tab (discontinued),,,,,APX,Y
A02BC04,rabeprazole 20mg EC tab,2356538,Rabeprazole EC 20mg Tab,DNP,0.1338,M,SFC,SAS,Y
A02BC04,rabeprazole 20mg EC tab,2385457,Rabeprazole-20mg Tab,DNP,0.1338,M,SFC,SIV,Y
A02BC05,esomeprazole 20mg tab,2244521,Nexium 20mg Tab,,,,,AZE,Y
A02BC05,esomeprazole 20mg tab,2339099,Apo-Esomeprazole 20mg DR Tab,,,,,APX,Y
A02BC05,esomeprazole 20mg tab,2383039,MYLAN-Esomeprazole 20mg DR Tab,,,,,MYL,Y
A02BC05,esomeprazole 20mg tab,2423855,ACT Esomeprazole 20mg Tab,,,,,ATV,Y
A02BC05,esomeprazole 20mg tab,2423979,RAN-Esomeprazole 20mg Tab,,,,,RAN,Y
A02BC05,esomeprazole 20mg tab,2442493,Esomeprazole 20mg Tab,,,,,SIV,Y
A02BC05,esomeprazole 40mg cap/tab,2244522,Nexium 40mg Tab,,,,,AZE,Y
A02BC05,esomeprazole 40mg cap/tab,2339102,Apo-Esomeprazole 40mg DR Tab,,,,,APX,Y
A02BC05,esomeprazole 40mg cap/tab,2379171,pms-Esomeprazole DR 40mg Cap,,,,,PMS,Y
A02BC05,esomeprazole 40mg cap/tab,2383047,MYLAN-Esomeprazole 40mg DR Tab,,,,,MYL,Y
A02BC05,esomeprazole 40mg cap/tab,2423863,ACT Esomeprazole 40mg Tab,,,,,ATV,Y
A02BC05,esomeprazole 40mg cap/tab,2423987,RAN-Esomeprazole 40mg Tab,,,,,RAN,Y
A02BC05,esomeprazole 40mg cap/tab,2431173,Esomeprazole 40mg DR Tab,,,,,SAS,Y
A02BC05,esomeprazole 40mg cap/tab,2442507,Esomeprazole 40mg Tab,,,,,SIV,Y
A02BD07,,2238525,Hp-PAC,DNP,89.25,L,SF*,ABB,N
A02BX02,sucralfate 1g tab,2045702,Novo-Sucralate 1g Tab,DNP,0.3236,M,SF,TEV,Y
A02BX02,sucralfate 1g tab,2100622,Sulcrate 1g Tab,DNP,0.3236,M,SF,AXC,Y
A02BX02,sucralfate 1g tab,2125250,Apo-Sucralate 1g Tab,DNP,0.3236,M,SF,APX,Y
A02BX02,,2103567,Sulcrate 1g/5mL Plus Susp,DNP,0.1207,L,SF,AXC,N
A03AA05,trimebutine 200mg tab,803499,Modulon 200mg Tab,DNP,0.5537,M,SFC,AXC,Y
A03AA05,trimebutine 200mg tab,2245664,Trimebutine 200mg Tab,DNP,0.5537,M,SFC,AAP,Y
A03AA05,,2245663,Trimebutine 100mg Tab,DNP,0.2802,L,SFC,AAP,N
A03AA07,,392812,Dicyclomine 10mg/mL Inj,,,,,SDZ,N
A03AA07,,2103087,Bentylol 10mg Tab (discontinued),,,,,AXC,N
A03AA07,,2103095,Bentylol 20mg Tab (discontinued),,,,,AXC,N
A03AA07,,2366088,Jamp-Dicyclomine 20mg Tab,DNP,0.699,L,SFC,JPC,N
A03AB02,,2039508,Glycopyrrolate 0.2mg/mL Inj,DNP,3.9775,L,SFC,SDZ,N
A03AD01,,9881,Papaverine HCl 32.5mg/mL Inj,,,,,SDZ,N
A03AX04,,1950592,Dicetel 50mg Tab,DNP,0.3607,L,SFC,ABB,N
A03AX04,,2230684,Dicetel 100mg Tab,DNP,0.6289,L,SFC,ABB,N
A03AX13,,292990,Ovol 80 (80mg) Tab,,,,,CHU,N
A03BA01,,392693,Atropine Sulfate 0.6mg/mL Inj,DNP,2.488,L,SFC,SDZ,N
A03BA01,,392782,Atropine Sulfate 0.4mg/mL Inj,DNP,2.288,L,SFC,SDZ,N
A03BA03,,125857,Levsin 0.125mg SL Tab,DNP,0.4935,L,SFC,AXS,N
A03CA02,chlordiazepoxide HCl 5mg & clidinium Br 2.5mg cap,115630,Librax Cap,DN,0.2451,M,SFC,VLN,Y
A03CA02,chlordiazepoxide HCl 5mg & clidinium Br 2.5mg cap,618454,Apo-Chlorax 5/2.5mg Cap,DN,0.2451,M,SFC,AAP,Y
A03ED99,,176141,Bellergal Spacetabs (discontinued),,,,,PAL,N
A03FA01,metoclopramide HCl 10mg tab,2099209,Maxeran 10mg Tab (discontinued),,,,,MRR,Y
A03FA01,metoclopramide HCl 10mg tab,2230432,Metonia 10mg Tab,DNP,0.0676,M,SFC,PDP,Y
A03FA01,metoclopramide HCl 1mg o/l,314714,Maxeran 1mg/mL O/L (discontinued),,,,,NRD,Y
A03FA01,metoclopramide HCl 1mg o/l,2230433,Metonia 1mg/mL Liq,DNP,0.0529,M,SFC,PDP,Y
A03FA01,metoclopramide HCl 5mg tab,2099195,Maxeran 5mg Tab (discontinued),,,,,MRR,Y
A03FA01,metoclopramide HCl 5mg tab,2230431,Metonia 5mg Tab,DNP,0.0645,M,SFC,PDP,Y
A03FA01,,2185431,Metoclopramide 5mg/mL Inj,DNP,3.3925,L,SFC,SDZ,N
A03FA03,Children 12 Years and Under,903085,Domperidone Oral Suspension,DNPM,,,FC,CPD,N
A03FA03,domperidone maleate 10mg tab,855820,Motilium 10mg Tab (discontinued),,,,,JAN,Y
A03FA03,domperidone maleate 10mg tab,1912070,Teva-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,TEV,Y
A03FA03,domperidone maleate 10mg tab,2103613,Apo-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,APX,Y
A03FA03,domperidone maleate 10mg tab,2236466,pms-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,PMS,Y
A03FA03,domperidone maleate 10mg tab,2238341,Domperidone-10mg Tab,DNPM,0.0428,M,SFC,SIV,Y
A03FA03,domperidone maleate 10mg tab,2268078,RAN-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,RAN,Y
A03FA03,domperidone maleate 10mg tab,2350440,Domperidone 10mg Tab,DNPM,0.0428,M,SFC,SAS,Y
A03FA03,domperidone maleate 10mg tab,2369206,Jamp-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,JPC,Y
A03FA03,domperidone maleate 10mg tab,2403870,Mar-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,MAR,Y
A04AA01,ondansetron 4mg tab,2213567,Zofran 4mg Tab,DNP,2.5556,P,E,NVR,Y
A04AA01,ondansetron 4mg tab,2258188,pms-Ondansetron 4mg Tab,DNP,2.5556,P,E,PMS,Y
A04AA01,ondansetron 4mg tab,2264056,Novo-Ondansetron 4mg Tab (discontinued),,,,,TEV,Y
A04AA01,ondansetron 4mg tab,2274310,Sandoz Ondansetron 4mg Tab,DNP,2.5556,P,E,SDZ,Y
A04AA01,ondansetron 4mg tab,2288184,Apo-Ondansetron 4mg Tab,DNP,2.5556,P,E,APX,Y
A04AA01,ondansetron 4mg tab,2296349,CO Ondansetron 4mg Tab,DNP,2.5556,P,E,ATV,Y
A04AA01,ondansetron 4mg tab,2297868,MYLAN-Ondansetron 4mg Tab,DNP,2.5556,P,E,MYL,Y
A04AA01,ondansetron 4mg tab,2305259,MINT-Ondansetron 4mg Tab,DNP,2.5556,P,E,MNT,Y
A04AA01,ondansetron 4mg tab,2313685,Jamp-Ondansetron 4mg Tab,DNP,2.5556,P,E,JPC,Y
A04AA01,ondansetron 4mg tab,2371731,Mar-Ondansetron 4mg Tab,DNP,2.5556,P,E,MAR,Y
A04AA01,ondansetron 4mg tab,2376091,Septa-Ondansetron 4mg Tab,DNP,2.5556,P,E,SPT,Y
A04AA01,ondansetron 4mg tab,2417839,NAT-Ondansetron 4mg Tab,DNP,2.5556,P,E,NAT,Y
A04AA01,ondansetron 4mg tab,2421402,Ondansetron 4mg Tab,DNP,2.5556,P,E,SAS,Y
A04AA01,ondansetron 4mg/5mL o/l,2229639,Zofran 4mg/5mL O/L,DNP,1.6028,M,E,NVR,Y
A04AA01,ondansetron 4mg/5mL o/l,2291967,Ondansetron 4mg/5mL O/L,DNP,1.6028,M,E,AAP,Y
A04AA01,ondansetron 8mg tab,2213575,Zofran 8mg Tab,DNP,5.1111,M,E,NVR,Y
A04AA01,ondansetron 8mg tab,2258196,pms-Ondansetron 8mg Tab,DNP,5.1111,M,E,PMS,Y
A04AA01,ondansetron 8mg tab,2264064,Teva-Ondansetron 8mg Tab,DNP,5.1111,M,E,TEV,Y
A04AA01,ondansetron 8mg tab,2274329,Sandoz Ondansetron 8mg Tab,DNP,5.1111,M,E,SDZ,Y
A04AA01,ondansetron 8mg tab,2288192,Apo-Ondansetron 8mg Tab,DNP,5.1111,M,E,APX,Y
A04AA01,ondansetron 8mg tab,2296357,CO Ondansetron 8mg Tab,DNP,5.1111,M,E,ATV,Y
A04AA01,ondansetron 8mg tab,2297876,MYLAN-Ondansetron 8mg Tab,DNP,5.1111,M,E,MYL,Y
A04AA01,ondansetron 8mg tab,2305267,MINT-Ondansetron 8mg Tab,DNP,5.1111,M,E,MNT,Y
A04AA01,ondansetron 8mg tab,2313693,Jamp-Ondansetron 8mg Tab,DNP,5.1111,M,E,JPC,Y
A04AA01,ondansetron 8mg tab,2371758,Mar-Ondansetron 8mg Tab,DNP,5.1111,M,E,MAR,Y
A04AA01,ondansetron 8mg tab,2376105,Septa-Ondansetron 8mg Tab,DNP,5.1111,M,E,SPT,Y
A04AA01,ondansetron 8mg tab,2417847,NAT-Ondansetron 8mg Tab,DNP,5.1111,M,E,NAT,Y
A04AA01,ondansetron 8mg tab,2421410,Ondansetron 8mg Tab,DNP,5.1111,M,E,SAS,Y
A04AA01,ondansetron OD 4mg tab/film,2239372,Zofran ODT 4mg Tab,DNP,2.5556,P,E,NVR,Y
A04AA01,ondansetron OD 4mg tab/film,2389983,Ondissolve ODF 4mg Film,DNP,2.5556,P,E,TAK,Y
