ATC,Interchangeable Category Name,DIN,Product Description,Prescriber Type,Reimbursement Price,Price Type,Benefit Status,MFR,Interchangeability Flag
A02BA02,ranitidine 300mg tab,02243230,Sandoz Ranitidine 300mg Tab,DNP,0.2253,M,SFC,SDZ,Y
A02BA02,ranitidine 300mg tab,02248571,CO Ranitidine 300mg Tab,DNP,0.2253,M,SFC,ATV,Y
A02BA02,ranitidine 300mg tab,02336502,RAN-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,RAN,Y
A02BA02,ranitidine 300mg tab,02353024,Ranitidine 300mg Tab,DNP,0.2253,M,SFC,SAS,Y
A02BA02,ranitidine 300mg tab,02385961,Ranitidine-300mg Tab,DNP,0.2253,M,SFC,SIV,Y
A02BA02,ranitidine 300mg tab,02443716,Mar-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,MAR,Y
A02BA02,ranitidine 300mg tab,02463725,Jamp-Ranitidine 300mg Tab,DNP,0.2253,M,SFC,JPC,Y
A02BA03,famotidine 10mg/mL inj,00728128,Pepcid 10mg/mL Inj (discontinued),,,,,FRS,Y
A02BA03,famotidine 10mg/mL inj,02247745,Famotidine Omega 10mg/mL Inj,DNP,1.985,M,SF,OMG,Y
A02BA03,famotidine 10mg/mL inj (pf),00728128,Pepcid (PF) 10mg/mL Inj (discontinued),,,,,FRS,Y
A02BA03,famotidine 10mg/mL inj (pf),02247735,Famotidine Omega (PF) 10mg/mL Inj,DNP,1.985,M,SF,OMG,Y
A02BA03,famotidine 20mg tab,00710121,Pepcid 20mg Tab (discontinued),,,,,FRS,Y
A02BA03,famotidine 20mg tab,02022133,Novo-Famotidine 20mg Tab,DNP,0.18,P,SF,TEV,Y
A02BA03,famotidine 20mg tab,02351102,Famotidine 20mg Tab,DNP,0.18,P,SF,SAS,Y
A02BA03,famotidine 40mg tab,00710113,Pepcid 40mg Tab (discontinued),,,,,FRS,Y
A02BA03,famotidine 40mg tab,02022141,Novo-Famotidine 40mg Tab,DNP,0.36,P,SF,TEV,Y
A02BA03,famotidine 40mg tab,02351110,Famotidine 40mg Tab,DNP,0.36,P,SF,SAS,Y
A02BA04,,00778338,Axid 150mg Cap,DNP,0.18,P,SF,PDP,N
A02BB01,misoprostol 100mcg tab,00813966,Cytotec 100mcg Tab (discontinued),,,,,PFI,Y
A02BB01,misoprostol 100mcg tab,02244022,Misoprostol 100mcg Tab,DNPM,0.2756,M,SF,AAP,Y
A02BB01,misoprostol 200mcg tab,00632600,Cytotec 200mcg Tab (discontinued),,,,,PFI,Y
A02BB01,misoprostol 200mcg tab,02244023,Misoprostol 200mcg Tab,DNPM,0.4589,M,SF,AAP,Y
A02BC01,omeprazole 10mg cap,02119579,Losec 10mg Cap (discontinued),,,,,AZE,Y
A02BC01,omeprazole 10mg cap,02296438,Sandoz Omeprazole 10mg Cap,DNP,0.2059,P,SFC*,SDZ,Y
A02BC01,omeprazole 10mg tab,02230737,Losec 10mg Tab,DNP,0.2059,P,SFC*,AZE,Y
A02BC01,omeprazole 10mg tab,02295407,Teva-Omeprazole 10mg Tab,DNP,0.2059,P,SFC*,TEV,Y
A02BC01,omeprazole 20mg cap,00846503,Losec 20mg Cap,DNP,0.2287,M,SFC*,AZE,Y
A02BC01,omeprazole 20mg cap,02245058,Apo-Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,APX,Y
A02BC01,omeprazole 20mg cap,02296446,Sandoz Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,SDZ,Y
A02BC01,omeprazole 20mg cap,02320851,pms-Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,PMS,Y
A02BC01,omeprazole 20mg cap,02348691,Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,SAS,Y
A02BC01,omeprazole 20mg cap,02411857,Omeprazole-20mg Cap,DNP,0.2287,M,SFC*,SIV,Y
A02BC01,omeprazole 20mg cap/tab,02190915,Losec 20mg Tab,DNP,0.2287,M,SFC*,AZE,Y
A02BC01,omeprazole 20mg cap/tab,02245058,Apo-Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,APX,Y
A02BC01,omeprazole 20mg cap/tab,02295415,Novo-Omeprazole Delayed-Release 20mg Tab,DNP,0.2287,M,SFC*,TEV,Y
A02BC01,omeprazole 20mg cap/tab,02348691,Omeprazole 20mg Cap,DNP,0.2287,M,SFC*,SAS,Y
A02BC01,omeprazole 20mg cap/tab,02416549,Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,AHI,Y
A02BC01,omeprazole 20mg cap/tab,02420198,Jamp-Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,JPC,Y
A02BC01,omeprazole 20mg cap/tab,02439549,NAT-Omeprazole DR 20mg Tab,DNP,0.2287,M,SFC*,NAT,Y
A02BC02,pantoprazole magnesium 40mg EC tab,02267233,Tecta 40mg Tab,DNP,0.1875,M,E,TAK,Y
A02BC02,pantoprazole magnesium 40mg EC tab,02408570,MYLAN-Pantoprazole T 40mg Tab,DNP,0.1875,M,E,MYL,Y
A02BC02,pantoprazole magnesium 40mg EC tab,02440628,Teva-Pantoprazole Magnesium 40mg Tab,DNP,0.1875,M,E,TEV,Y
A02BC02,pantoprazole magnesium 40mg EC tab,02441853,Pantoprazole Magnesium 40mg Tab,DNP,0.1875,M,E,APR,Y
A02BC02,pantoprazole magnesium 40mg EC tab,02466147,Pantoprazole T 40mg Tab,DNP,0.1875,M,E,SAS,Y
A02BC02,pantoprazole sodium 20mg EC tab,02241804,Pantoloc 20mg Tab,DNP,0.1803,M,SFC*,TAK,Y
A02BC02,pantoprazole sodium 20mg EC tab,02285479,Teva-Pantoprazole 20mg DR Tab,DNP,0.1803,M,SFC*,TEV,Y
A02BC02,pantoprazole sodium 20mg EC tab,02292912,Apo-Pantoprazole 20mg DR Tab,DNP,0.1803,M,SFC*,APX,Y
A02BC02,pantoprazole sodium 20mg EC tab,02301075,Sandoz Pantoprazole 20mg DR Tab,DNP,0.1803,M,SFC*,SDZ,Y
A02BC02,pantoprazole sodium 20mg EC tab,02408414,Jamp-Pantoprazole 20mg Tab,DNP,0.1803,M,SFC*,JPC,Y
A02BC02,pantoprazole sodium 20mg EC tab,02428172,Pantoprazole-20mg Tab,DNP,0.1803,M,SFC*,SIV,Y
A02BC02,pantoprazole sodium 40mg EC tab,02229453,Pantoloc 40mg Tab,DNP,0.2016,M,SFC*,TAK,Y
A02BC02,pantoprazole sodium 40mg EC tab,02285487,Teva-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,TEV,Y
A02BC02,pantoprazole sodium 40mg EC tab,02292920,Apo-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,APX,Y
A02BC02,pantoprazole sodium 40mg EC tab,02301083,Sandoz Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,SDZ,Y
A02BC02,pantoprazole sodium 40mg EC tab,02305046,RAN-Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,RAN,Y
A02BC02,pantoprazole sodium 40mg EC tab,02307871,pms-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,PMS,Y
A02BC02,pantoprazole sodium 40mg EC tab,02357054,Jamp-Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,JPC,Y
A02BC02,pantoprazole sodium 40mg EC tab,02370808,Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,SAS,Y
A02BC02,pantoprazole sodium 40mg EC tab,02415208,Auro-Pantoprazole 40mg Tab,DNP,0.2016,M,SFC*,ARO,Y
A02BC02,pantoprazole sodium 40mg EC tab,02416565,Mar-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,MAR,Y
A02BC02,pantoprazole sodium 40mg EC tab,02417448,MINT-Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,MNT,Y
A02BC02,pantoprazole sodium 40mg EC tab,02428180,Pantoprazole-40mg Tab,DNP,0.2016,M,SFC*,SIV,Y
A02BC02,pantoprazole sodium 40mg EC tab,02437945,Pantoprazole 40mg DR Tab,DNP,0.2016,M,SFC*,PMS,Y
A02BC03,Individuals 19 Years and Under,00903192,Lansoprazole Oral Suspension,DNP,,,FC,CPD,N
A02BC03,lansoprazole 15mg cap,02165503,Prevacid 15mg Cap,DNP,0.25,P,E,ABB,Y
A02BC03,lansoprazole 15mg cap,02280515,Teva-Lansoprazole 15mg DR Cap,DNP,0.25,P,E,TEV,Y
A02BC03,lansoprazole 15mg cap,02293811,Apo-Lansoprazole 15mg DR Cap,DNP,0.25,P,E,APX,Y
A02BC03,lansoprazole 15mg cap,02353830,MYLAN-Lansoprazole 15mg DR Cap,DNP,0.25,P,E,MYL,Y
A02BC03,lansoprazole 15mg cap,02357682,Lansoprazole 15mg DR Cap,DNP,0.25,P,E,SAS,Y
A02BC03,lansoprazole 15mg cap,02385643,Sandoz Lansoprazole 15mg DR Cap,DNP,0.25,P,E,SDZ,Y
A02BC03,lansoprazole 15mg cap,02385767,Lansoprazole 15mg Cap,DNP,0.25,P,E,SIV,Y
A02BC03,lansoprazole 15mg cap,02402610,RAN-Lansoprazole 15mg Cap,DNP,0.25,P,E,RAN,Y
A02BC03,lansoprazole 15mg cap,02433001,Lansoprazole 15mg Cap,DNP,0.25,P,E,PMS,Y
A02BC03,lansoprazole 30mg cap,02165511,Prevacid 30mg Cap,DNP,0.5,M,E,ABB,Y
A02BC03,lansoprazole 30mg cap,02280523,Teva-Lansoprazole 30mg DR Cap,DNP,0.5,M,E,TEV,Y
A02BC03,lansoprazole 30mg cap,02293838,Apo-Lansoprazole 30mg DR Cap,DNP,0.5,M,E,APX,Y
A02BC03,lansoprazole 30mg cap,02353849,MYLAN-Lansoprazole 30mg DR Cap,DNP,0.5,M,E,MYL,Y
A02BC03,lansoprazole 30mg cap,02357690,Lansoprazole 30mg DR Cap,DNP,0.5,M,E,SAS,Y
A02BC03,lansoprazole 30mg cap,02385651,Sandoz Lansoprazole 30mg DR Cap,DNP,0.5,M,E,SDZ,Y
A02BC03,lansoprazole 30mg cap,02402629,RAN-Lansoprazole 30mg Cap,DNP,0.5,M,E,RAN,Y
A02BC03,lansoprazole 30mg cap,02410389,Lansoprazole-30mg Cap,DNP,0.5,M,E,SIV,Y
A02BC03,lansoprazole 30mg cap,02433028,Lansoprazole 30mg Cap,DNP,0.5,M,E,PMS,Y
A02BC03,,02249464,Prevacid FasTab 15mg Tab,DNP,2.084,L,E,ABB,N
A02BC03,,02249472,Prevacid FasTab 30mg Tab,DNP,2.084,L,E,ABB,N
A02BC04,rabeprazole 10mg EC tab,02243796,Pariet 10mg Tab,DNP,0.0669,M,SFC,JAN,Y
A02BC04,rabeprazole 10mg EC tab,02296632,Teva-Rabeprazole-EC 10mg Tab,DNP,0.0669,M,SFC,TEV,Y
A02BC04,rabeprazole 10mg EC tab,02298074,RAN-Rabeprazole 10mg Tab,DNP,0.0669,M,SFC,RAN,Y
A02BC04,rabeprazole 10mg EC tab,02310805,pms-Rabeprazole 10mg EC Tab,DNP,0.0669,M,SFC,PMS,Y
A02BC04,rabeprazole 10mg EC tab,02314177,Sandoz Rabeprazole 10mg EC Tab,DNP,0.0669,M,SFC,SDZ,Y
A02BC04,rabeprazole 10mg EC tab,02345579,Apo-Rabeprazole 10mg EC Tab (discontinued),,,,,APX,Y
A02BC04,rabeprazole 10mg EC tab,02356511,Rabeprazole EC 10mg Tab,DNP,0.0669,M,SFC,SAS,Y
A02BC04,rabeprazole 10mg EC tab,02385449,Rabeprazole-10mg Tab,DNP,0.0669,M,SFC,SIV,Y
A02BC04,rabeprazole 20mg EC tab,02243797,Pariet 20mg Tab,DNP,0.1338,M,SFC,JAN,Y
A02BC04,rabeprazole 20mg EC tab,02296640,Teva-Rabeprazole-EC 20mg Tab,DNP,0.1338,M,SFC,TEV,Y
A02BC04,rabeprazole 20mg EC tab,02298082,RAN-Rabeprazole 20mg Tab,DNP,0.1338,M,SFC,RAN,Y
A02BC04,rabeprazole 20mg EC tab,02310813,pms-Rabeprazole 20mg EC Tab,DNP,0.1338,M,SFC,PMS,Y
A02BC04,rabeprazole 20mg EC tab,02314185,Sandoz Rabeprazole 20mg EC Tab,DNP,0.1338,M,SFC,SDZ,Y
A02BC04,rabeprazole 20mg EC tab,02356538,Rabeprazole EC 20mg Tab,DNP,0.1338,M,SFC,SAS,Y
A02BC04,rabeprazole 20mg EC tab,02385457,Rabeprazole-20mg Tab,DNP,0.1338,M,SFC,SIV,Y
A02BC05,esomeprazole 20mg tab,02244521,Nexium 20mg Tab,,,,,AZE,Y
A02BC05,esomeprazole 20mg tab,02339099,Apo-Esomeprazole 20mg DR Tab,,,,,APX,Y
A02BC05,esomeprazole 20mg tab,02383039,MYLAN-Esomeprazole 20mg DR Tab,,,,,MYL,Y
A02BC05,esomeprazole 20mg tab,02423855,ACT Esomeprazole 20mg Tab,,,,,ATV,Y
A02BC05,esomeprazole 20mg tab,02423979,RAN-Esomeprazole 20mg Tab,,,,,RAN,Y
A02BC05,esomeprazole 20mg tab,02442493,Esomeprazole 20mg Tab,,,,,SIV,Y
A02BC05,esomeprazole 20mg tab,02460920,Sandoz Esomeprazole 20mg Tab,,,,,SDZ,Y
A02BC05,esomeprazole 40mg cap/tab,02244522,Nexium 40mg Tab,,,,,AZE,Y
A02BC05,esomeprazole 40mg cap/tab,02339102,Apo-Esomeprazole 40mg DR Tab,,,,,APX,Y
A02BC05,esomeprazole 40mg cap/tab,02379171,pms-Esomeprazole DR 40mg Cap,,,,,PMS,Y
A02BC05,esomeprazole 40mg cap/tab,02383047,MYLAN-Esomeprazole 40mg DR Tab,,,,,MYL,Y
A02BC05,esomeprazole 40mg cap/tab,02423863,ACT Esomeprazole 40mg Tab,,,,,ATV,Y
A02BC05,esomeprazole 40mg cap/tab,02423987,RAN-Esomeprazole 40mg Tab,,,,,RAN,Y
A02BC05,esomeprazole 40mg cap/tab,02431173,Esomeprazole 40mg DR Tab,,,,,SAS,Y
A02BC05,esomeprazole 40mg cap/tab,02442507,Esomeprazole 40mg Tab,,,,,SIV,Y
A02BC05,esomeprazole 40mg cap/tab,02460939,Sandoz Esomeprazole 40mg Tab,,,,,SDZ,Y
A02BD07,"lansoprazole 30mg, amoxicillin 500mg & clarithromycin 500mg kit",02238525,Hp-PAC,DNP,67.9125,M,SF*,ABB,Y
A02BD07,"lansoprazole 30mg, amoxicillin 500mg & clarithromycin 500mg kit",02470780,Apo-Lansoprazole-Amoxicillin-Clarithromycin Kit,DNP,67.9125,M,SF*,APX,Y
A02BX02,sucralfate 1g tab,02045702,Novo-Sucralate 1g Tab,DNP,0.3089,M,SF,TEV,Y
A02BX02,sucralfate 1g tab,02100622,Sulcrate 1g Tab,DNP,0.3089,M,SF,AXC,Y
A02BX02,sucralfate 1g tab,02125250,Apo-Sucralate 1g Tab,DNP,0.3089,M,SF,APX,Y
A02BX02,,02103567,Sulcrate 1g/5mL Plus Susp,DNP,0.1236,L,SF,AXC,N
A03AA05,trimebutine 200mg tab,00803499,Modulon 200mg Tab (discontinued),,,,,AXC,Y
A03AA05,trimebutine 200mg tab,02245664,Trimebutine 200mg Tab,DNP,0.5537,M,SFC,AAP,Y
A03AA05,,02245663,Trimebutine 100mg Tab,DNP,0.2869,L,SFC,AAP,N
A03AA07,,00392812,Dicyclomine 10mg/mL Inj (discontinued),,,,,SDZ,N
A03AA07,,02366088,Jamp-Dicyclomine 20mg Tab,DNP,0.699,L,SFC,JPC,N
A03AB02,,02039508,Glycopyrrolate 0.2mg/mL Inj,DNP,3.9775,L,SFC,SDZ,N
A03AD01,,00009881,Papaverine HCl 32.5mg/mL Inj,,,,,SDZ,N
A03AX04,pinaverium bromide 100mg tab,02230684,Dicetel 100mg Tab,DNP,0.5346,M,SFC,ABB,Y
A03AX04,pinaverium bromide 100mg tab,02469685,Apo-Pinaverium 100mg Tab,DNP,0.5346,M,SFC,APX,Y
A03AX04,pinaverium bromide 50mg tab,01950592,Dicetel 50mg Tab,DNP,0.3066,M,SFC,ABB,Y
A03AX04,pinaverium bromide 50mg tab,02469677,Apo-Pinaverium 50mg Tab,DNP,0.3066,M,SFC,APX,Y
A03AX13,,00292990,Ovol 80 (80mg) Tab,,,,,CHU,N
A03BA01,,00392693,Atropine Sulfate 0.6mg/mL Inj,DNP,2.488,L,SFC,SDZ,N
A03BA01,,00392782,Atropine Sulfate 0.4mg/mL Inj,DNP,2.288,L,SFC,SDZ,N
A03BA03,,00125857,Levsin 0.125mg SL Tab,DNP,0.4935,L,SFC,AXS,N
A03CA02,chlordiazepoxide HCl 5mg & clidinium Br 2.5mg cap,00115630,Librax Cap,DN,0.2451,M,SFC,BSL,Y
A03CA02,chlordiazepoxide HCl 5mg & clidinium Br 2.5mg cap,00618454,Apo-Chlorax 5/2.5mg Cap,DN,0.2451,M,SFC,AAP,Y
A03FA01,metoclopramide HCl 10mg tab,02099209,Maxeran 10mg Tab (discontinued),,,,,MRR,Y
A03FA01,metoclopramide HCl 10mg tab,02230432,Metonia 10mg Tab,DNP,0.0676,M,SFC,PDP,Y
A03FA01,metoclopramide HCl 1mg o/l,00314714,Maxeran 1mg/mL O/L (discontinued),,,,,NRD,Y
A03FA01,metoclopramide HCl 1mg o/l,02230433,Metonia 1mg/mL O/L,DNP,0.0551,M,SFC,PDP,Y
A03FA01,metoclopramide HCl 5mg tab,02099195,Maxeran 5mg Tab (discontinued),,,,,MRR,Y
A03FA01,metoclopramide HCl 5mg tab,02230431,Metonia 5mg Tab,DNP,0.0676,M,SFC,PDP,Y
A03FA01,,02185431,Metoclopramide 5mg/mL Inj,DNP,3.3925,L,SFC,SDZ,N
A03FA03,Children 12 Years and Under,00903085,Domperidone Oral Suspension,DNPM,,,FC,CPD,N
A03FA03,domperidone maleate 10mg tab,00855820,Motilium 10mg Tab (discontinued),,,,,JAN,Y
A03FA03,domperidone maleate 10mg tab,01912070,Teva-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,TEV,Y
A03FA03,domperidone maleate 10mg tab,02103613,Apo-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,APX,Y
A03FA03,domperidone maleate 10mg tab,02236466,pms-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,PMS,Y
A03FA03,domperidone maleate 10mg tab,02238341,Domperidone 10mg Tab,DNPM,0.0428,M,SFC,SIV,Y
A03FA03,domperidone maleate 10mg tab,02268078,RAN-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,RAN,Y
A03FA03,domperidone maleate 10mg tab,02350440,Domperidone 10mg Tab,DNPM,0.0428,M,SFC,SAS,Y
A03FA03,domperidone maleate 10mg tab,02369206,Jamp-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,JPC,Y
A03FA03,domperidone maleate 10mg tab,02403870,Mar-Domperidone 10mg Tab,DNPM,0.0428,M,SFC,MAR,Y
A04AA01,ondansetron 4mg tab,02213567,Zofran 4mg Tab,DNP,2.5556,P,E,NVR,Y
A04AA01,ondansetron 4mg tab,02258188,pms-Ondansetron 4mg Tab,DNP,2.5556,P,E,PMS,Y
A04AA01,ondansetron 4mg tab,02274310,Sandoz Ondansetron 4mg Tab,DNP,2.5556,P,E,SDZ,Y
A04AA01,ondansetron 4mg tab,02288184,Apo-Ondansetron 4mg Tab,DNP,2.5556,P,E,APX,Y
A04AA01,ondansetron 4mg tab,02296349,CO Ondansetron 4mg Tab,DNP,2.5556,P,E,ATV,Y
A04AA01,ondansetron 4mg tab,02297868,MYLAN-Ondansetron 4mg Tab,DNP,2.5556,P,E,MYL,Y
A04AA01,ondansetron 4mg tab,02305259,MINT-Ondansetron 4mg Tab,DNP,2.5556,P,E,MNT,Y
A04AA01,ondansetron 4mg tab,02313685,Jamp-Ondansetron 4mg Tab,DNP,2.5556,P,E,JPC,Y
A04AA01,ondansetron 4mg tab,02371731,Mar-Ondansetron 4mg Tab,DNP,2.5556,P,E,MAR,Y
A04AA01,ondansetron 4mg tab,02417839,NAT-Ondansetron 4mg Tab,DNP,2.5556,P,E,NAT,Y
A04AA01,ondansetron 4mg tab,02421402,Ondansetron 4mg Tab,DNP,2.5556,P,E,SAS,Y
A04AA01,ondansetron 4mg/5mL o/l,02229639,Zofran 4mg/5mL O/L,DNP,1.6641,M,E,NVR,Y
A04AA01,ondansetron 4mg/5mL o/l,02291967,Ondansetron 4mg/5mL O/L,DNP,1.6641,M,E,AAP,Y
A04AA01,ondansetron 8mg tab,02213575,Zofran 8mg Tab,DNP,5.1111,M,E,NVR,Y
A04AA01,ondansetron 8mg tab,02258196,pms-Ondansetron 8mg Tab,DNP,5.1111,M,E,PMS,Y
A04AA01,ondansetron 8mg tab,02274329,Sandoz Ondansetron 8mg Tab,DNP,5.1111,M,E,SDZ,Y
A04AA01,ondansetron 8mg tab,02288192,Apo-Ondansetron 8mg Tab,DNP,5.1111,M,E,APX,Y
A04AA01,ondansetron 8mg tab,02296357,CO Ondansetron 8mg Tab,DNP,5.1111,M,E,ATV,Y
A04AA01,ondansetron 8mg tab,02297876,MYLAN-Ondansetron 8mg Tab,DNP,5.1111,M,E,MYL,Y
A04AA01,ondansetron 8mg tab,02305267,MINT-Ondansetron 8mg Tab,DNP,5.1111,M,E,MNT,Y
A04AA01,ondansetron 8mg tab,02313693,Jamp-Ondansetron 8mg Tab,DNP,5.1111,M,E,JPC,Y
A04AA01,ondansetron 8mg tab,02371758,Mar-Ondansetron 8mg Tab,DNP,5.1111,M,E,MAR,Y
A04AA01,ondansetron 8mg tab,02417847,NAT-Ondansetron 8mg Tab,DNP,5.1111,M,E,NAT,Y
A04AA01,ondansetron 8mg tab,02421410,Ondansetron 8mg Tab,DNP,5.1111,M,E,SAS,Y
A04AA01,ondansetron OD 4mg tab/film,02239372,Zofran ODT 4mg Tab,DNP,2.5556,P,E,NVR,Y
A04AA01,ondansetron OD 4mg tab/film,02389983,Ondissolve ODF 4mg Film,DNP,2.5556,P,E,TAK,Y
A04AA01,ondansetron OD 4mg tab/film,02444674,VPI-Ondansetron ODT 4mg Tab,,,,,VPI,Y
A04AA01,ondansetron OD 4mg tab/film,02481723,Sandoz Ondansetron ODT 4mg Tab,DNP,2.5556,P,E,SDZ,Y
A04AA01,ondansetron OD 8mg tab/film,02239373,Zofran ODT 8mg Tab,DNP,4.993,M,E,NVR,Y
A04AA01,ondansetron OD 8mg tab/film,02389991,Ondissolve ODF 8mg Film,DNP,4.993,M,E,TAK,Y
A04AA01,ondansetron OD 8mg tab/film,02444682,VPI-Ondansetron ODT 8mg Tab,,,,,VPI,Y
A04AA01,ondansetron OD 8mg tab/film,02481731,Sandoz Ondansetron ODT 8mg Tab,DNP,4.993,M,E,SDZ,Y
A04AA02,granisetron 1mg tab,02185881,Kytril 1mg Tab (discontinued),,,,,HLR,Y
A04AA02,granisetron 1mg tab,02308894,Apo-Granisetron 1mg Tab,DNP,9,M,E,APX,Y
A04AA02,granisetron 1mg tab,02452359,NAT-Granisetron 1mg Tab,DNP,9,M,E,NAT,Y
A04AA05,,02381710,Aloxi 0.25mg/5mL Inj,,,,,PFR,N
A04AA05,,02381729,Aloxi 0.5mg Cap,,,,,PFR,N
A04AA55,,02468735,Akynzeo 300mg/0.5mg Cap,DNP,137.15,L,E,PFR,N
A04AD01,hyoscine butylbromide 20mg/mL inj,00363839,Buscopan 20mg/mL Inj (discontinued),,,,,BOE,Y
A04AD01,hyoscine butylbromide 20mg/mL inj,02229868,Hyoscine Butylbromide 20mg/mL Inj,DNP,4.52,M,SF,SDZ,Y
A04AD01,,00363812,Buscopan 10mg Tab,DNP,0.355,L,SF,SAV,N
A04AD01,,80024336,Transderm-V 1.5mg Patch,,,,,NVR,N
