Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
12month_rolling,Obstetrics/Gynaecology,Tubal Ligation,"Sandland, Helen",,,,,39,41,50,62
2019_q2,,Breast Cancer Surgery,,Total,Provincial,2019,2,12,21,20,40
12month_rolling,Urology,Cystoscopy,"Lawen, Joseph G",,,,,22,22,28,54
12month_rolling,Obstetrics/Gynaecology,All,"Saciragic, Lana",,,,,19,42,54,85
12month_rolling,Ophthalmology,Cataract Surgery,"Hussain, Ahsen Ayyaz",,,,,247,307,45,120
3month_rolling,,Shoulder Surgery,,Zone 1,Valley Regional,2019,4,,,413,696
12month_rolling,Urology,Male Circumcision  (Adult),"Massaro, Peter",,,,,85,171,148,291
12month_rolling,Urology,All,"Bell, David G",,,,,33,93,41,139
2019_q3,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2019,3,22,76,41,210
12month_rolling,Orthopaedic,Knee Scope,"Hewins, Edward",,,,,37,63,122,261
12month_rolling,Plastic Surgery,Palmar Fascia Excision for Dupuytren's Disease,"Tang, David T",,,,,146,312,22,33
12month_rolling,General Surgery,Hemorrhoidectomy,"Wasserman, Lukas",,,,,24,35,287,297
2019_q2,,Hernia Repair - Incisional,,Zone 1,Valley Regional,2019,2,88,203,85,309
3month_rolling,,Knee Scope with ACL Repair,,Zone 4,Dartmouth General,2019,4,45,72,,
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Matei, Anca",,,,,79,322,235,383
2019_q3,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2019,3,,,42,91
2017_q4,,Bowel Resection,,Zone 1,Valley Regional,2017,4,20,53,34,58
2018_q1,,Hernia Repair  (Pediatric),,IWK,IWK,2018,1,25,37,61,134
2019_q4,,Pilonidal Cyst Surgery,,Total,Provincial,2019,4,140,322,65,140
2019_q1,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2019,1,,,30,70
2019_q2,,Kidney Removal,,Zone 3,Cape Breton Regional,2019,2,,,37,90
2018_q4,,Cystoscopy,,IWK,IWK,2018,4,,,43,125
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Dempsey, Ian M",,,,,175,223,89,148
2017_q4,,Hernia Repair - Inguinal/Femoral,,Total,Provincial,2017,4,35,134,48,174
2019_q4,,Aneurysm Repair,,Zone 1,Valley Regional,2019,4,,,64,102
3month_rolling,,Bladder Cancer Surgery,,Zone 3,Cape Breton Regional,2019,4,,,22,43
3month_rolling,,Thyroid or Parathyroid Surgery,,Zone 2,Cumberland Regional,2019,4,76,144,36,79
2017_q4,,Back Surgery  (Pediatric),,Total,Provincial,2017,4,,,101,336
12month_rolling,General Surgery,Hernia Repair - Ventral,"McKenney, Roderick",,,,,45,57,82,156
2018_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Marthas Regional,2018,3,31,111,93,131
12month_rolling,General Surgery,Pilonidal Cyst Surgery,"Sharma, Chakshu",,,,,90,179,55,63
12month_rolling,Plastic Surgery,Breast Reconstruction,"Morris, Steven F",,,,,,,84,273
12month_rolling,Urology,Sacral Nerve Stimulation,"Cox, Ashley",,,,,,,88,310
2018_q2,,Cystoscopy,,Zone 1,South Shore Regional,2018,2,,,36,117
3month_rolling,,Knee Replacement Revision,,Total,Provincial,2019,4,37,75,116,388
2018_q1,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2018,1,13,43,18,47
2019_q4,,Shoulder Arthroplasty,,Total,Provincial,2019,4,106,246,146,660
2018_q4,,Knee Scope,,IWK,IWK,2018,4,,,70,91
2018_q2,,Cardiovascular Surgery,,Total,Provincial,2018,2,,,5,36
2019_q3,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2019,3,14,36,47,80
2019_q4,,Hernia Repair - Incisional,,Zone 2,Colchester East Hants Health Centre,2019,4,78,105,82,191
2019_q3,,Bowel Resection - Open,,Zone 2,Colchester East Hants Health Centre,2019,3,16,34,44,64
2017_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,St. Marthas Regional,2017,4,,,25,73
2017_q4,,Angioplasty,,Zone 4,QE2,2017,4,,,41,220
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Yaffe, Paul",,,,,80,101,44,155
2019_q4,,Cataract Surgery,,Zone 2,Colchester East Hants Health Centre,2019,4,188,203,162,196
2019_q2,,Knee Scope,,Zone 2,Aberdeen Hospital,2019,2,39,116,61,163
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"O'Sullivan, Colleen M",,,,,215,511,71,269
2019_q2,,Hernia Repair - Laparoscopic Incisional,,Total,Provincial,2019,2,39,189,90,240
2018_q3,,Ankle - Arthrodesis,,Total,Provincial,2018,3,,,129,243
2019_q2,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2019,2,41,95,64,128
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"O'Brien, David A",,,,,74,112,128,314
12month_rolling,General Surgery,Gallbladder Surgery,"Nader, Nabil",,,,,33,83,38,106
2018_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 1,South Shore Regional,2018,1,35,57,64,181
12month_rolling,Orthopaedic,Hip Replacement,"O'Brien, David A",,,,,72,126,198,332
2018_q2,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2018,2,,,36,89
2019_q3,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,IWK,IWK,2019,3,173,213,198,331
12month_rolling,General Surgery,All,"Neumann, Katerina",,,,,8,15,70,621
3month_rolling,,Male Circumcision  (Adult),,Zone 3,Northside General,2019,4,,,43,161
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Rudd, Michael W",,,,,135,174,319,379
2019_q4,,Lacrimal Duct Probing,,Total,Provincial,2019,4,,,141,318
12month_rolling,General Surgery,Gallbladder Surgery,"Shih, Warren W",,,,,77,136,45,183
2018_q1,,Tubal Ligation,,Total,Provincial,2018,1,88,230,77,144
2019_q2,,Hemorrhoidectomy,,Total,Provincial,2019,2,126,545,111,304
12month_rolling,Orthopaedic Surgery,,,,,2019,4,,,124,450
2019_q4,,Hand / Upper Extremity,,Zone 4,QE2,2019,4,239,468,96,260
2018_q3,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2018,3,112,232,91,216
2018_q1,,Tubal Ligation,,Zone 2,Aberdeen Hospital,2018,1,,,65,256
2018_q2,,Gallbladder Surgery,,Zone 4,Dartmouth General,2018,2,106,255,95,239
2018_q4,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2018,4,31,137,37,131
12month_rolling,,Whipple Procedures,,Zone 4,QE2,2019,4,11,22,15,38
2018_q4,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2018,4,37,91,43,113
12month_rolling,,Hernia Repair - Ventral,,Zone 4,Dartmouth General,2019,4,116,175,,
2017_q4,,Hernia Repair - Inguinal/Femoral,,Zone 1,Valley Regional,2017,4,55,110,41,114
2018_q1,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2018,1,,,57,74
2019_q1,,Septoplasty,,Zone 4,QE2,2019,1,136,346,,
2018_q2,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2018,2,,,9,16
12month_rolling,General Surgery,Gastric Surgery - Laparoscopic,"Wasserman, Lukas",,,,,49,76,367,401
2019_q1,,Prostate Surgery,,Zone 1,Valley Regional,2019,1,53,164,79,143
3month_rolling,,Gallbladder Surgery,,Zone 4,Dartmouth General,2019,4,119,174,69,182
12month_rolling,,Liver Surgery,,Total,Provincial,2019,4,15,32,22,80
12month_rolling,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 4,QE2,2019,4,29,187,33,162
12month_rolling,Urology,Male Reproductive System Surgery,"Rent, Kenneth",,,,,40,179,49,290
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2019,4,36,69,41,54
3month_rolling,,Gallbladder Surgery,,Zone 3,Inverness Consolidated Memorial,2019,4,,,38,84
12month_rolling,,Tear Duct Surgery,,Total,Provincial,2019,4,114,417,82,334
12month_rolling,,Oculo Plastic Surgery,,Zone 1,South Shore Regional,2019,4,147,240,119,154
2018_q3,,Cervical Spine (Neck) Surgery,,Total,Provincial,2018,3,81,189,56,150
2018_q4,,Male Reproductive System Surgery,,Zone 3,Northside General,2018,4,32,344,,
2018_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,New Waterford,2018,2,,,104,232
2017_q4,,Foot - Arthrodesis,,Total,Provincial,2017,4,140,198,190,355
2018_q3,,Thyroid or Parathyroid Surgery,,Total,Provincial,2018,3,38,105,54,183
12month_rolling,Otolaryngology (ENT),All,"Curry, Philip L",,,,,98,343,34,155
3month_rolling,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2019,4,10,31,34,67
3month_rolling,,Gallbladder Surgery,,Zone 3,Glace Bay,2019,4,25,105,20,91
2019_q2,,Female Incontinence Surgery,,Zone 4,QE2,2019,2,,,117,183
2018_q3,,Knee Scope,,Zone 4,Hants Community Hospital,2018,3,61,417,53,173
2019_q1,,Hernia Repair - Inguinal/Femoral,,Zone 1,Yarmouth Regional,2019,1,27,70,48,108
2018_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 1,South Shore Regional,2018,2,30,63,50,111
12month_rolling,Orthopaedic,Meniscectomy,"Urquhart, Nathan Alexander",,,,,62,113,112,350
12month_rolling,,Orthopaedic Trauma,,Total,Provincial,2019,4,18,113,13,227
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Enright, Jonathan Boyde",,,,,129,483,105,287
2017_q4,,Male Circumcision  (Pediatric),,Total,Provincial,2017,4,43,68,92,236
12month_rolling,,Kidney / Upper Urinary Tract,,IWK,IWK,2019,4,62,165,173,308
2018_q2,,Vascular Bypass Surgery,,Zone 1,Valley Regional,2018,2,11,66,,
3month_rolling,,Tubal Ligation,,Total,Provincial,2019,4,40,134,99,199
2019_q1,,Knee Replacement,,Zone 4,QE2,2019,1,64,183,237,584
2018_q2,,Knee Replacement - Partial,,Zone 4,Dartmouth General,2018,2,,,134,226
12month_rolling,General Surgery,Bowel Resection - Laparoscopic,"Nader, Nabil",,,,,21,40,20,26
12month_rolling,Ophthalmology,Cataract Surgery,"Dickinson, John D",,,,,107,209,110,167
12month_rolling,Urology,Male Circumcision  (Adult),"Padmore, Dave",,,,,28,51,31,59
2019_q1,,Female Incontinence Surgery,,IWK,IWK,2019,1,,,57,142
2019_q4,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2019,4,149,346,94,162
12month_rolling,,Oculo Plastic Surgery,,IWK,IWK,2019,4,,,26,246
2019_q3,,Knee Replacement,,Zone 4,QE2,2019,3,57,168,195,971
2019_q1,,Bowel Resection - Open,,Total,Provincial,2019,1,23,71,29,79
2019_q3,,Knee Scope,,Zone 4,Dartmouth General,2019,3,76,170,100,337
2019_q3,,Peritoneal Lavage or Catherization,,Total,Provincial,2019,3,10,51,10,36
2019_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2019,4,59,290,129,545
2018_q1,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2018,1,70,179,57,140
2019_q4,,Functional Endoscopic Sinus Surgery (FESS),,Total,Provincial,2019,4,48,197,76,279
2017_q4,,AV Fistula Creation/Closure,,Total,Provincial,2017,4,46,56,16,96
12month_rolling,General Surgery,Hernia Repair - Umbilical,"Butler, Clay K",,,,,256,546,127,151
12month_rolling,General Surgery,Hernia Repair  (Adult),"McGory,Rodney W",,,,,56,130,80,228
3month_rolling,,Dental Extractions and Restorations  (Adult),,Zone 4,Hants Community Hospital,2019,4,,,22,46
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2019,4,44,98,57,202
2019_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 4,Dartmouth General,2019,4,73,229,89,109
2017_q4,,Hysteroscopy,,IWK,IWK,2017,4,57,173,58,127
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"Weeks, Adrienne",,,,,17,43,12,76
2018_q3,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2018,3,67,252,31,49
2019_q3,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2019,3,31,89,69,106
2019_q2,,Gallbladder Surgery,,Zone 1,Yarmouth Regional,2019,2,14,112,43,97
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 2,Cumberland Regional,2019,4,36,54,,
12month_rolling,Orthopaedic,Knee Scope with ACL Repair,"El-Tahan, Tahmir H.",,,,,14,70,152,397
2018_q4,,Vascular Bypass Surgery,,Total,Provincial,2018,4,41,168,29,87
2019_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2019,2,123,312,86,224
3month_rolling,,Male Circumcision  (Pediatric),,IWK,IWK,2019,4,34,58,90,202
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 3,Northside General,2019,4,,,54,70
2019_q1,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2019,1,,,81,163
2019_q1,,Hysteroscopy,,Zone 2,Aberdeen Hospital,2019,1,44,154,58,62
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Minor, Samuel",,,,,201,228,71,106
2019_q2,,Septoplasty,,Zone 4,QE2,2019,2,118,373,,
12month_rolling,Orthopaedic,Knee Replacement,"Sequeira, Stanislaus",,,,,103,562,531,685
2018_q1,,Breast Cancer Surgery,,Total,Provincial,2018,1,8,31,15,38
2019_q3,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2019,3,17,166,41,144
12month_rolling,,Bowel Resection - Open,,Zone 4,QE2,2019,4,17,72,29,167
2017_q4,,Endometrial Ablation,,Total,Provincial,2017,4,45,177,45,127
2017_q4,,Foot - Arthrodesis,,Zone 4,QE2,2017,4,146,196,217,474
2018_q3,,Colorectal Cancer Surgery,,Total,Provincial,2018,3,23,108,26,63
2018_q2,,Hysterectomy  (Cancer Not Suspected),,Zone 1,South Shore Regional,2018,2,37,101,46,62
2018_q3,,Hernia Repair - Umbilical,,Zone 1,South Shore Regional,2018,3,52,138,37,55
2019_q3,,Strabismus Surgery  (Adult),,Zone 4,QE2,2019,3,353,"1,374",69,304
2019_q2,,Cataract Surgery,,Zone 2,Cumberland Regional,2019,2,20,34,36,152
2018_q2,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2018,2,,,27,34
2018_q3,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2018,3,15,21,34,74
2019_q1,,Hernia Repair - Inguinal/Femoral,,Zone 3,Northside General,2019,1,,,37,53
2018_q4,,Gastric Surgery - Laparoscopic,,Total,Provincial,2018,4,55,80,34,421
2019_q1,,Male Reproductive System Surgery,,Zone 3,Inverness Consolidated Memorial,2019,1,50,133,19,30
3month_rolling,,Tubal Ligation,,Zone 3,Northside General,2019,4,28,31,59,177
2019_q4,,Knee Scope with ACL Repair,,Zone 4,QE2,2019,4,34,88,117,615
2018_q1,,Cardiovascular Surgery,,Zone 4,QE2,2018,1,,,10,39
12month_rolling,Urology,Bladder Cancer Surgery,"Rent, Kenneth",,,,,32,151,41,111
12month_rolling,,Lacrimal Duct Probing,,Zone 4,QE2,2019,4,116,417,98,206
2018_q3,,Pilonidal Cyst Surgery,,Total,Provincial,2018,3,91,263,79,94
2017_q4,,Pelvic Floor Repair,,Zone 1,Valley Regional,2017,4,,,106,190
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Williams, Blair",,,,,12,65,19,98
12month_rolling,Plastic Surgery,Carpal Tunnel Surgery,"Atiyah, Abdulrazzak O",,,,,35,91,14,48
2018_q1,,Cystoscopy,,Zone 4,Dartmouth General,2018,1,46,115,77,147
2018_q3,,Aneurysm Repair,,Zone 1,Valley Regional,2018,3,,,55,106
12month_rolling,,Hernia Repair - Inguinal/Femoral,,Zone 3,Glace Bay,2019,4,89,323,60,189
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Gilmour, Donna",,,,,118,168,129,153
3month_rolling,,Male Circumcision  (Adult),,Zone 1,Valley Regional,2019,4,63,232,,
2019_q3,,Cataract Surgery,,Zone 1,Yarmouth Regional,2019,3,104,274,16,51
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Rigby, Matthew Hall",,,,,14,22,22,45
12month_rolling,,Oculo Plastic Surgery,,Zone 3,St. Marthas Regional,2019,4,,,168,237
2018_q4,,Bone / Cartilage Graft,,Zone 1,South Shore Regional,2018,4,48,82,124,289
12month_rolling,Otolaryngology (ENT),All,"Corsten, P Gerard",,,,,128,221,96,210
2019_q2,,Nissen Fundoplication - Laparoscopic,,Total,Provincial,2019,2,87,380,115,401
2018_q1,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Marthas Regional,2018,1,14,33,,
2018_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2018,4,57,69,53,114
2018_q3,,Shoulder Arthroplasty,,Total,Provincial,2018,3,122,288,253,479
12month_rolling,General Surgery,Peritoneal Lavage or Catherization,"Dunn, Rex S",,,,,,,36,44
2018_q2,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Marthas Regional,2018,2,,,138,189
2018_q1,,Cystoscopy,,Zone 1,South Shore Regional,2018,1,18,121,34,112
2019_q1,,Bowel Resection,,Zone 2,Colchester East Hants Health Centre,2019,1,25,76,42,85
2018_q1,,Hip Arthroscopy,,Zone 4,QE2,2018,1,200,"1,155",240,676
12month_rolling,Oral Maxillofacial,Bone / Cartilage Graft,"Doucet, Jean-Charles",,,,,,,40,49
2018_q3,,Back Surgery  (Pediatric),,Total,Provincial,2018,3,,,150,259
2019_q2,,Gallbladder Surgery,,Zone 3,Northside General,2019,2,71,123,27,127
2019_q4,,Pacemaker Insertion,,Zone 2,Aberdeen Hospital,2019,4,,,66,140
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Nette, Farrell",,,,,96,194,78,103
2018_q1,,Cataract Surgery,,Zone 1,Yarmouth Regional,2018,1,64,102,131,158
2019_q2,,Colorectal Cancer Surgery,,Zone 3,Cape Breton Regional,2019,2,17,83,18,54
2019_q2,,Surgery for Hearing or Balance Problems of the Ear,,Zone 3,St. Marthas Regional,2019,2,,,45,97
2018_q3,,Hip Arthroscopy,,Zone 4,QE2,2018,3,291,448,345,871
12month_rolling,General Surgery,Gastric Surgery,"Helyer, Lucy K",,,,,22,47,34,94
12month_rolling,General Surgery,Insertion Vascular Access Catheter,"Blackmore, Christopher",,,,,,,13,57
3month_rolling,,Ear Tubes  (Pediatric),,Zone 3,St. Marthas Regional,2019,4,,,32,61
2019_q3,,Hernia Repair  (Adult),,Zone 3,Northside General,2019,3,123,253,79,159
2018_q2,,Angioplasty,,Total,Provincial,2018,2,,,30,137
2018_q2,,Ankle - Arthrodesis,,Total,Provincial,2018,2,,,95,215
2018_q3,,Lacrimal Duct Probing,,Total,Provincial,2018,3,150,511,68,145
2018_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2018,1,18,33,53,137
12month_rolling,General Surgery,Hernia Repair - Incisional,"Wasserman, Lukas",,,,,29,60,238,343
2019_q3,,Septoplasty,,Zone 4,QE2,2019,3,71,78,,
2019_q2,,Surgery for Hearing or Balance Problems of the Ear,,Total,Provincial,2019,2,53,218,58,278
12month_rolling,General Surgery,Gastrointestinal Tract Surgery,"Wasilewski, Leszek J",,,,,38,227,40,178
2017_q4,,Amputations,,Total,Provincial,2017,4,10,167,16,104
2018_q2,,Kidney Stone Surgery,,Zone 4,QE2,2018,2,42,85,39,179
12month_rolling,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2019,4,6,12,7,19
2017_q4,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2017,4,115,356,37,136
2019_q4,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2019,4,51,192,32,131
12month_rolling,General Surgery,Hernia Repair  (Adult),"Butler, Clay K",,,,,246,566,125,239
12month_rolling,Obstetrics/Gynaecology,Hysterectomy  (Cancer Not Suspected),"Lee, Winifred W",,,,,,,86,127
2019_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 3,Cape Breton Regional,2019,4,15,27,30,135
2018_q2,,Knee Scope,,Zone 2,Aberdeen Hospital,2018,2,104,233,111,302
2017_q4,,Kidney Stone Surgery,,Zone 4,QE2,2017,4,31,115,36,94
12month_rolling,General Surgery,Hernia Repair - Laparoscopic Inguinal Femoral,"Butler, Clay K",,,,,364,621,123,201
